activity_level,age_group,weekly_workouts,avg_daily_steps,sleep_hours,water_liters,resting_heart_rate,vo2_estimate,fitness_level
Moderately Active,18-25,2,8777.054703300571,7.091257371974347,1.9073028110081285,75.36317582011549,34.52819571647443,Fair
Moderately Active,46-55,6,8414.654829842519,6.982430308857696,2.0678653470682056,66.11243059298215,44.19962316821865,Good
Moderately Active,18-25,3,2593.0018519703817,6.251389954356677,1.298395179591223,72.64054204874121,30.161652344296883,Fair
Very Active,46-55,3,9700.413280784156,7.362440009226038,1.8460064523191506,66.42554352308903,40.170104758914384,Good
Very Active,26-35,6,11357.53347697738,8.088840723359752,2.695475535653741,66.54824766939844,46.303062364153405,Excellent
Very Active,18-25,2,7628.073128985761,6.2063820576906705,1.997698026538784,73.48221238962186,31.31146980432906,Fair
Moderately Active,56+,2,4536.75679850594,7.130023210248405,2.5416413378300504,71.97449048941819,32.00626673762252,Fair
Lightly Active,36-45,3,7698.8413371557945,7.909171869138774,1.4229474643765587,80.14806186034318,35.56028277592947,Good
Lightly Active,26-35,5,7544.38228893437,6.957430523871391,2.056655325124438,59.65893941862478,46.2848484335986,Excellent
Lightly Active,46-55,1,8081.50524879467,7.502816411420963,2.160551459859408,71.51387696734254,37.08835781665323,Good
Sedentary,36-45,3,9357.001719544522,8.779597441517856,1.27146591548374,63.79189805470893,41.164506424849186,Good
Very Active,36-45,3,7552.8422065948325,9.01930993200601,1.6710074798363395,68.24507689480288,39.85260676038604,Good
Very Active,36-45,4,7605.701565773011,7.329350747293284,0.42944001368768125,64.44749166128776,40.10645664059791,Good
Lightly Active,18-25,6,11715.316872021485,7.778849929868079,2.8106271873310305,68.02273669257318,43.404139919512325,Good
Sedentary,26-35,2,7829.035896951599,7.108893424213352,1.1168606534018342,71.7420822467263,34.96522473984694,Fair
Very Active,46-55,2,9410.919704901753,6.4226093289514985,1.5504754244882328,69.90059119062657,36.0226362489539,Good
Very Active,46-55,2,8428.451584742004,8.430179463362617,1.3335422124139504,68.3754255106692,32.709285688807626,Fair
Lightly Active,36-45,2,10730.415800602332,7.8640157807136415,3.154392743960802,74.06568461721338,40.236385543226106,Good
Lightly Active,36-45,3,4675.596585698492,6.905654985820474,2.1702911706325536,72.98892567830242,38.78196465268395,Good
Moderately Active,18-25,4,9950.321954986328,7.628778689016161,1.6843529998262161,71.89025162187873,41.59306777314644,Good
Moderately Active,36-45,3,5272.608551218867,7.775598570893383,0.9922427977137795,74.81187887598104,37.77918745741053,Good
Moderately Active,36-45,4,7689.377617269052,5.143176241332182,1.5276358451625016,77.5617738358784,37.69938962734047,Good
Moderately Active,56+,3,10408.320359848241,7.37738170696264,2.5451836194530113,69.65420609917834,34.56792663182952,Fair
Sedentary,26-35,2,11290.913025671478,5.649786095098812,1.5280847097505548,66.01926952212433,33.68225087745642,Fair
Lightly Active,56+,2,9192.689498621952,7.618468067579904,1.79731536669864,69.08049257378552,41.214270071937705,Good
Sedentary,18-25,1,10529.275824255892,6.916374296899252,1.2350419362592464,71.84430936489397,39.87146284277651,Good
Lightly Active,46-55,5,8655.0334517458,7.99720348748021,0.7451221191858988,72.44538521159538,40.953168439066005,Good
Very Active,36-45,3,13881.70565649082,5.814255163861887,1.348392465544395,73.23455020945589,47.4914368950499,Excellent
Lightly Active,46-55,3,6686.763673200136,7.169928723763436,2.3483053381060603,76.92780392599211,36.49880586791616,Good
Very Active,18-25,4,11051.190832034004,7.0835226183123305,2.6916427216197607,67.27029909349535,42.21355645592102,Good
Lightly Active,56+,5,8123.947140502802,6.810014764390943,1.676307730359879,65.96510567794596,43.695261227374324,Good
Moderately Active,46-55,5,12145.051943822797,7.724284106981699,1.5524564995996046,74.1693818330982,40.81542692137375,Good
Lightly Active,36-45,2,9308.341324785659,5.1999692670467965,2.0787265320065123,70.10640200516353,41.355062773190255,Good
Very Active,46-55,2,5198.000054095992,7.0262014309616925,1.6427412989653087,76.46338705275366,38.51819501716936,Good
Moderately Active,18-25,5,11773.881428810366,5.949488933856282,1.852215163037466,66.02899469333337,44.25163146329546,Good
Lightly Active,18-25,4,6177.229719116687,8.183722745996482,0.7078371631683398,72.3128650237307,40.377371393559756,Good
Lightly Active,26-35,2,8768.147178976633,7.733571501519979,0.3,75.98823253386779,39.20078726870416,Good
Lightly Active,36-45,6,7682.05972410707,6.825137172159797,1.8683998583680608,70.861459438453,35.14652423219292,Good
Very Active,46-55,1,7537.961719649804,7.741860848380578,0.7676122377197228,79.50811949477608,32.24272332633082,Fair
Very Active,18-25,6,6519.86972103974,5.642780174664477,1.604802617931732,64.45380002851661,36.311406255127054,Good
Sedentary,56+,4,8822.310705099135,5.571821169371383,1.5403506084198026,67.45596564478967,36.77252294830282,Good
Moderately Active,18-25,2,10694.438008691732,7.229317191122045,2.1888074243562823,70.37343810184407,34.2207392928612,Fair
Very Active,46-55,2,6661.906588275846,6.736513431123809,0.9760207862881383,70.33005680596631,31.241800603326425,Fair
Sedentary,18-25,3,9529.695126455259,6.226535764772259,1.0469233090500007,69.16164829025644,37.247526880411485,Good
Sedentary,46-55,4,6634.065477266393,6.126210726674237,2.1754537362127766,76.74942881051058,41.56241650262798,Good
Sedentary,56+,2,9068.368521709925,5.843585737014539,2.05016255243909,79.44727578908923,39.92886615739684,Good
Very Active,18-25,1,9409.957153905914,7.230817607902604,1.3489666426540299,72.32851266911447,43.25516743094204,Good
Moderately Active,36-45,2,10396.271566954918,8.318214770169547,1.4976145550740956,67.95330618082718,40.95387878941211,Good
Moderately Active,46-55,1,5650.468448042069,7.0381432955524135,1.6190555807001406,77.186376181137,36.80578523725866,Good
Moderately Active,18-25,4,2975.182057248927,8.114849338076072,3.0634164033318374,69.47134634540313,32.18797703934436,Fair
