major,class_year,study_hours,sleep_hours,class_attendance,coffee_cups,exam_score,letter_grade
Engineering,Sophomore,13.986856612044932,7.881289754980817,71.30237598564457,2,93.72307629966978,A
Engineering,Freshman,11.44694279531526,6.370051208240137,88.99454126782067,0,67.69381912359617,D
Computer Science,Freshman,14.59075415240277,7.982645328095094,98.54210026619971,2,100.0,A
Business,Junior,18.092119425632102,8.420074072924455,88.04835460438994,1,100.0,A
Biology,Senior,11.063386501106656,7.572091412901331,94.57566578280371,1,89.76373653918336,B
Biology,Sophomore,11.063452172203277,8.88911623130226,96.52619390045223,3,100.0,A
Biology,Junior,18.316851262029566,6.503589720806785,76.84239315846797,4,83.37955384168653,B
Biology,Senior,15.069738916611636,6.079810767019724,76.3613451972468,1,100.0,A
Engineering,Senior,10.122102456260192,5.599151775986149,88.32942966552974,1,78.36777291254882,C
Biology,Senior,14.170240174343858,8.546439880340266,82.33085409420114,0,96.29281943929097,A
Business,Junior,10.146329228750151,7.788929090718652,95.19583908600161,1,83.64121997691838,B
Engineering,Junior,10.137080985718972,7.149973796180591,97.00069370194034,2,79.63264819566828,C
Biology,Senior,12.967849086264136,7.451971763687839,80.60264137908155,2,85.1485622094028,B
Computer Science,Freshman,4.346879021368808,6.1870598574314615,77.10611676923446,0,71.47979351774265,C
Psychology,Freshman,5.100328669947869,9.401176781655144,93.41576545731586,0,63.18509867299459,D
Psychology,Junior,9.750849883036109,7.316299063777705,78.24418106644409,1,88.43095167852012,B
Psychology,Junior,7.948675518662305,7.298455315144404,94.67842955541035,5,75.10521387469166,C
Engineering,Junior,13.256989330381096,7.853189961508823,82.71214760946289,3,81.90460675677879,B
Biology,Senior,8.367903697915157,7.632908308563042,90.02649697874412,1,76.2586477342914,C
Engineering,Freshman,6.350785194658834,7.401495621851218,72.86605941504004,2,85.13116459592685,B
Business,Junior,17.862595075686215,6.488572990099219,88.7157797402972,1,94.74788795552873,A
Computer Science,Junior,11.096894798053857,7.624321521422396,83.55303036211687,1,88.71727978352904,B
Computer Science,Sophomore,12.270112818751695,8.89382204682753,87.59825389526422,2,84.48733106577124,B
Psychology,Senior,6.301007255146173,8.41087804153948,75.04042623234591,3,82.54190782301976,B
Psychology,Sophomore,9.82246910189927,8.633867963975458,92.10621234832547,1,90.04429588046321,A
Psychology,Freshman,12.443690358839465,6.739905891211934,95.88391232629685,2,100.0,A
Biology,Sophomore,7.396025690310789,6.3093556617672775,76.50219400272327,2,74.33077844734093,C
Business,Sophomore,13.502792073382688,7.086791771910317,72.87143666560485,0,95.68556865737064,A
Business,Sophomore,9.597445240324781,7.250152421059825,70.70915758139009,2,82.77414847661582,B
Business,Senior,10.833225000826893,8.184772366623854,89.25914501329798,1,96.47722780665907,A
Business,Freshman,9.593173551082412,5.676781833256663,88.21282108266342,1,73.86949546139647,C
Psychology,Sophomore,19.409112738035752,8.576595287514552,86.4009223814221,1,100.0,A
Computer Science,Senior,11.946011101048263,7.057792891278909,76.95841288347927,1,85.3103353902911,B
Psychology,Freshman,7.769156284176399,6.815807037047322,81.72717987716544,0,76.80234896389108,C
